"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Anrede","Bord","Deck"
"Nein","3","male",20,0,0,7.925,"Southampton","Mr",,
"Nein","2","male",16,0,0,10.5,"Southampton","Mr",,
"Ja","1","female",30,0,0,31,"Cherbourg","Miss",,
"Nein","3","male",34.5,0,0,6.4375,"Cherbourg","Mr",,
"Nein","3","male",17,0,0,8.6625,"Southampton","Mr",,
"Nein","3","male",42,0,0,7.55,"Southampton","Mr",,
"Nein","3","male",30,8,2,69.55,"Southampton","Mr",,
"Nein","3","male",35,0,0,7.8958,"Cherbourg","Mr",,
"Nein","2","male",28,0,1,33,"Southampton","Rev",,
"Ja","1","female",35,1,0,89.1042,"Cherbourg","Mrs","Backbord","C"
"Nein","3","male",4,4,2,31.275,"Southampton","Master",,
"Nein","3","male",74,0,0,7.775,"Southampton","Mr",,
"Nein","3","female",9,1,1,15.2458,"Cherbourg","Miss",,
"Ja","1","female",16,0,1,39.4,"Southampton","Miss","Backbord","D"
"Nein","2","female",44,1,0,26,"Southampton","Mrs",,
"Ja","3","female",18,0,1,9.35,"Southampton","Mrs",,
"Ja","1","female",45,1,1,164.8667,"Southampton","Mrs",,
"Ja","1","male",51,0,0,26.55,"Southampton","Mr","Steuerbord","E"
"Ja","3","female",24,0,3,19.2583,"Cherbourg","Mrs",,
"Nein","3","male",30,0,0,7.2292,"Cherbourg","Mr",,
"Nein","3","male",41,2,0,14.1083,"Southampton","Mr",,
"Nein","2","male",21,1,0,11.5,"Southampton","Mr",,
"Ja","1","female",48,0,0,25.9292,"Southampton","Mrs","Steuerbord","D"
"Nein","3","female",21,8,2,69.55,"Southampton","Miss",,
"Nein","2","male",24,0,0,13,"Southampton","Mr",,
"Ja","2","female",42,0,0,13,"Southampton","Mrs",,
"Ja","2","female",27,1,0,13.8583,"Cherbourg","Miss",,
"Nein","1","male",31,0,0,50.4958,"Southampton","Mr","Backbord","A"
"Nein","3","male",30,0,0,9.5,"Southampton","Mr",,
"Ja","3","male",4,1,1,11.1333,"Southampton","Master",,
"Nein","3","male",26,0,0,7.8958,"Southampton","Mr",,
"Ja","1","female",47,1,1,52.5542,"Southampton","Mrs","Steuerbord","D"
"Nein","1","male",33,0,0,5,"Southampton","Mr","Steuerbord","B"
"Nein","3","male",47,0,0,9,"Southampton","Mr",,
"Ja","2","female",28,1,0,24,"Cherbourg","Mrs",,
"Ja","3","female",15,0,0,7.225,"Cherbourg","Miss",,
"Nein","3","male",20,0,0,9.8458,"Southampton","Mr",,
"Nein","3","male",19,0,0,7.8958,"Southampton","Mr",,
"Nein","3","male",30,0,0,7.8958,"Southampton","Mr",,
"Ja","1","female",56,0,1,83.1583,"Cherbourg","Mrs","Backbord","C"
"Ja","2","female",25,0,1,26,"Southampton","Mrs",,
"Nein","3","male",33,0,0,7.8958,"Southampton","Mr",,
"Nein","3","female",22,0,0,10.5167,"Southampton","Miss",,
"Nein","2","male",28,0,0,10.5,"Southampton","Mr",,
"Nein","3","male",25,0,0,7.05,"Southampton","Mr",,
"Nein","3","female",39,0,5,29.125,"Queenstown","Mrs",,
"Nein","2","male",27,0,0,13,"Southampton","Rev",,
"Ja","1","female",19,0,0,30,"Southampton","Miss","Backbord","B"
"Nein","3","female",21,1,2,23.45,"Southampton","Miss",,
"Ja","1","male",26,0,0,30,"Cherbourg","Mr","Backbord","C"
"Nein","3","male",32,0,0,7.75,"Queenstown","Mr",,
